name_file,real_eggs_images,counted_eggs_image,model_name,total_time,image_name,timestamp
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-5,44,33,best-train2.pt,37.162714,paleta-404-44.jpg,2025-03-26 22:00:15
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-5,8,8,best-train2.pt,47.075621,paleta-81-8.jpg,2025-03-26 22:00:15
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-6,23,20,best-train2.pt,38.311602,paleta-067-23.jpg,2025-03-26 22:06:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-6,41,48,best-train2.pt,39.91894,paleta-109-41.jpg,2025-03-26 22:06:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-6,32,39,best-train2.pt,40.351123,paleta-187-32.jpg,2025-03-26 22:06:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-6,58,53,best-train2.pt,39.508138,paleta-291-58.jpg,2025-03-26 22:06:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-6,59,60,best-train2.pt,40.408176,paleta-34-59.jpg,2025-03-26 22:06:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-6,4,6,best-train2.pt,40.346483,paleta-352-4.jpg,2025-03-26 22:06:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-6,108,69,best-train2.pt,40.244769,paleta-43-108.jpg,2025-03-26 22:06:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-6,7,6,best-train2.pt,39.568182,paleta-51-7.jpg,2025-03-26 22:06:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-6,15,20,best-train2.pt,39.949537,paleta-61-15.jpg,2025-03-26 22:06:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-6,60,56,best-train2.pt,39.473921,paleta-78-60.jpg,2025-03-26 22:06:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-7,112,132,best-train2.pt,39.890357,paleta-1-112.jpg,2025-03-26 22:15:31
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-7,4,11,best-train2.pt,40.214968,paleta-10-4.jpg,2025-03-26 22:15:31
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-7,47,76,best-train2.pt,38.310438,paleta-11-47.jpg,2025-03-26 22:15:31
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-7,93,151,best-train2.pt,42.892416,paleta-12-93.jpg,2025-03-26 22:15:31
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-7,129,140,best-train2.pt,39.412841,paleta-13-129.jpg,2025-03-26 22:15:31
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-7,114,132,best-train2.pt,39.359715,paleta-14-114.jpg,2025-03-26 22:15:31
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-7,15,21,best-train2.pt,39.971402,paleta-15-15.jpg,2025-03-26 22:15:31
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-7,95,106,best-train2.pt,39.678832,paleta-16-95.jpg,2025-03-26 22:15:31
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-7,24,33,best-train2.pt,39.541501,paleta-17-24.jpg,2025-03-26 22:15:31
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-7,4,10,best-train2.pt,39.377445,paleta-2-4.jpg,2025-03-26 22:15:31
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-7,20,47,best-train2.pt,39.836194,paleta-5-20.jpg,2025-03-26 22:15:31
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-7,53,65,best-train2.pt,39.49637,paleta-7-53.jpg,2025-03-26 22:15:31
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-7,13,17,best-train2.pt,38.363119,paleta-9-13.jpg,2025-03-26 22:15:31
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-8,50,39,best-train2.pt,40.001502,paleta-110-50.jpg,2025-03-26 22:22:19
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-8,29,15,best-train2.pt,38.995901,paleta-144-29.jpg,2025-03-26 22:22:19
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-8,24,26,best-train2.pt,43.992327,paleta-177-24.jpg,2025-03-26 22:22:19
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-8,136,160,best-train2.pt,37.371465,paleta-186-136.jpg,2025-03-26 22:22:19
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-8,16,28,best-train2.pt,39.929585,paleta-282-16.jpg,2025-03-26 22:22:19
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-8,18,24,best-train2.pt,39.093438,paleta-290-18.jpg,2025-03-26 22:22:19
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-8,20,28,best-train2.pt,45.420925,paleta-329-20.jpg,2025-03-26 22:22:19
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-8,12,24,best-train2.pt,44.091902,paleta-33-12.jpg,2025-03-26 22:22:19
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-8,22,15,best-train2.pt,38.542769,paleta-37-22.jpg,2025-03-26 22:22:19
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-8,55,57,best-train2.pt,39.228816,paleta-87-55.jpg,2025-03-26 22:22:19
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-9,5,13,best-train2.pt,39.89774,paleta-140-5.jpg,2025-03-26 22:28:47
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-9,4,14,best-train2.pt,37.376538,paleta-146-4.jpg,2025-03-26 22:28:47
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-9,13,16,best-train2.pt,38.404211,paleta-165-13.jpg,2025-03-26 22:28:47
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-9,1,3,best-train2.pt,38.867771,paleta-203-1.jpg,2025-03-26 22:28:47
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-9,11,15,best-train2.pt,39.396752,paleta-210-11.jpg,2025-03-26 22:28:47
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-9,3,3,best-train2.pt,38.894284,paleta-211-3.jpg,2025-03-26 22:28:47
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-9,3,6,best-train2.pt,38.192815,paleta-268-3.jpg,2025-03-26 22:28:47
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-9,8,13,best-train2.pt,39.241527,paleta-284-8.jpg,2025-03-26 22:28:47
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-9,1,8,best-train2.pt,38.784658,paleta-285-1.jpg,2025-03-26 22:28:47
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-9,9,32,best-train2.pt,37.511473,paleta-340-9.jpg,2025-03-26 22:28:47
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-10,128,113,best-v1.pt,38.701421,paleta-10-128.jpg,2025-03-26 23:30:37
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-10,12,9,best-v1.pt,32.451065,paleta-11-12.jpg,2025-03-26 23:30:37
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-10,169,45,best-v1.pt,33.697877,paleta-11-169.jpg,2025-03-26 23:30:37
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-10,10,11,best-v1.pt,35.311879,paleta-12-10.jpg,2025-03-26 23:30:37
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-10,34,30,best-v1.pt,34.271353,paleta-12-34.jpg,2025-03-26 23:30:37
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-10,89,72,best-v1.pt,35.937119,paleta-14-89.jpg,2025-03-26 23:30:37
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-10,111,18,best-v1.pt,36.490658,paleta-15-111.jpg,2025-03-26 23:30:37
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-10,172,188,best-v1.pt,35.708137,paleta-16-172.jpg,2025-03-26 23:30:37
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-10,54,52,best-v1.pt,36.952285,paleta-17-54.jpg,2025-03-26 23:30:37
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-10,90,74,best-v1.pt,34.163298,paleta-17-90.jpg,2025-03-26 23:30:37
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-10,56,26,best-v1.pt,35.565374,paleta-3-56.jpg,2025-03-26 23:30:37
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-10,34,15,best-v1.pt,35.446405,paleta-4-34.jpg,2025-03-26 23:30:37
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-10,11,16,best-v1.pt,34.814838,paleta-5-11.jpg,2025-03-26 23:30:37
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-10,27,19,best-v1.pt,34.878491,paleta-6-27.jpg,2025-03-26 23:30:37
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-10,55,48,best-v1.pt,44.488547,paleta-6-55.jpg,2025-03-26 23:30:37
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-10,89,106,best-v1.pt,35.924874,paleta-7-89.jpg,2025-03-26 23:30:37
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-10,100,76,best-v1.pt,36.44673,paleta-8-100.jpg,2025-03-26 23:30:37
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-10,64,40,best-v1.pt,36.125827,paleta-8-64.jpg,2025-03-26 23:30:37
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-10,39,54,best-v1.pt,36.058382,paleta-9-39.jpg,2025-03-26 23:30:37
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-10,82,37,best-v1.pt,37.372499,paleta-9-82.jpg,2025-03-26 23:30:37
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-11,183,33,best-v1.pt,37.754354,paleta-43-183.jpg,2025-03-26 23:36:56
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-11,50,32,best-v1.pt,41.571607,paleta-43-50.jpg,2025-03-26 23:36:56
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-11,14,8,best-v1.pt,35.180153,paleta-46-14.jpg,2025-03-26 23:36:56
